sentence	sentence_id	locale	reason
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	"I don't know how to pronounce the name"
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Aceasta nu este un o evoluţie satisfăcătoare.	461b664626aa7b291d229664f1f7da0b914a7ff999dfa19e5f9c18c88f0fa73d	ro	grammar-or-spelling
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	„no?ti”
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	„no?ti”
Aceasta nu este un o evoluţie satisfăcătoare.	461b664626aa7b291d229664f1f7da0b914a7ff999dfa19e5f9c18c88f0fa73d	ro	"""un o"""
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	"""nosti"""
Dar cel mai experimentat din acest punct de vedere este maftei.	4cd337483756810a302ab16fb3d24cb5724761ec9c6c7a1b3f061a4fbc9818ea	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	No idea how to pronounce the name
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Ce i-a placut sau nu la echipa.	55e497be0be107ba5174c14d254e485c70d6ce465686b82a488431d8397f7f5c	ro	`echipa`, trebuia `echip?`
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Apoi mai este problema persoanelor care returnate.	668b8fc5aaed90d7e23d31831632bc0cee626e13dd376c17fca96156178e2030	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Am votat în favoarea aceste rezoluții.	690ec34c3311aa01a0b6c9289ca1bb6e278e41ef814e4b4403555dbee9016c32	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Prin urmare, să rog să participaţi la votare.	525f42627566e16c0864312daf73d17b978a863534493ce7bb017b9482b2c1f2	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Poate ne puteți explica, dle Šefčovič.	765df262bedbde11e4e5f59c69ff849ac863222ae8e3028ae25e81add0be99d4	ro	No idea how to pronounce the personal name
Cele două au urcat în premieră pe un podium la ce me.	780d917d363fe4a857d8252e893a0b47281901ad06a5e8b50802ad66da4bb343	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Această moarte nu trebuie să fie în van.	7881a2bf7cafc5ee4b7393fa027c34bc4674cb17dd37895be2413696224a83df	ro	grammar-or-spelling
Nous en avons terminé avec les votes.	8ac8d01740ed45084898a8e896ec2f4bdc0ceba238ed5c14860f8b57d4349e65	ro	different-language
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
